duplicate_group_id,canonical_candidate,document_id,file_name,relative_path,extension,size_bytes,sha256
EXACT00006,False,DOC000027,2bff0e55530a5f042b71b7245b9310a5_original (1).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (1).pdf,.pdf,14996763,752100774713db4bce1bba84ccbd571af14868359841be4afb343ab4b4e4328f
EXACT00007,True,DOC000126,Dr Orhan Simsek.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Dr Orhan Simsek.pdf,.pdf,41138159,abc6dcf8e707da2f77f6aa3777630d823ed934fca48f67821114ed835ea64e63
EXACT00007,False,DOC000028,2bff0e55530a5f042b71b7245b9310a5_original (2).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (2).pdf,.pdf,41138159,abc6dcf8e707da2f77f6aa3777630d823ed934fca48f67821114ed835ea64e63
EXACT00008,True,DOC000125,Ahmet Sirin.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Ahmet Sirin.pdf,.pdf,81051652,7f177b472ed62ef801089d0cdc51369c39b4f89669880fe37871ea63672066df
EXACT00008,False,DOC000029,2bff0e55530a5f042b71b7245b9310a5_original (3).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (3).pdf,.pdf,81051652,7f177b472ed62ef801089d0cdc51369c39b4f89669880fe37871ea63672066df
EXACT00009,True,DOC000130,Murat Dursun Barut.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Murat Dursun Barut.pdf,.pdf,5273420,17e5e4aa41637a66b3dee7c8c71e79a278cdccb4c134fd115eb7a4a66aa24f32
EXACT00009,False,DOC000030,2bff0e55530a5f042b71b7245b9310a5_original (4).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (4).pdf,.pdf,5273420,17e5e4aa41637a66b3dee7c8c71e79a278cdccb4c134fd115eb7a4a66aa24f32
EXACT00010,True,DOC000131,Nurettin Demir.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Nurettin Demir.pdf,.pdf,67050668,784b14ff9e8444a97c6d284d4fe232dab00589930f78f3c4ecf441816251e1db
EXACT00010,False,DOC000031,2bff0e55530a5f042b71b7245b9310a5_original (5).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (5).pdf,.pdf,67050668,784b14ff9e8444a97c6d284d4fe232dab00589930f78f3c4ecf441816251e1db
EXACT00010,False,DOC000032,2bff0e55530a5f042b71b7245b9310a5_original (6).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (6).pdf,.pdf,67050668,784b14ff9e8444a97c6d284d4fe232dab00589930f78f3c4ecf441816251e1db
EXACT00011,True,DOC000129,Muhammed Alyuruk.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Muhammed Alyuruk.pdf,.pdf,9728807,290648f6f7fc8e05fe816c0b981659f49af95ca7c31f137e180c1169c15bbe29
