document_id,source_relative_path,field,current_value,suggested_value,evidence,confidence,reviewer_value,reviewer_note,review_status,reviewed_at
DOC000014,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000015,Leyla Literatür/TunelMaliyet/hif15005.pdf,authority_level,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: fhwa,low,,,pending,
DOC000015,Leyla Literatür/TunelMaliyet/hif15005.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000017,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,authority_level,,B,Akademik yayın türü sinyali: academic_article,medium,,,pending,
DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,organization,,,Authority kararı var; kurum doğrulaması eksik,low,,,pending,
DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,year,,,"Belge metninde çelişkili publication/date yılları: 2002, 2021",low,,,pending,
DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000020,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000023,Leyla Literatür/TunelMaliyet/Tunnels-PIARC.docx,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000025,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000025,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000036,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,year,,,"Belge metninde çelişkili publication/date yılları: 1930, 1958, 1964, 1966, 1971, 1986, 1999, 2013, 2015",low,,,pending,
DOC000037,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,organization,,,Authority kararı var; kurum doğrulaması eksik,low,,,pending,
DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,year,,,"Belge metninde çelişkili publication/date yılları: 1999, 2006",low,,,pending,
DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,year,,,"Belge metninde çelişkili publication/date yılları: 2017, 2019",low,,,pending,
DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,language,,unknown,Konservatif dil tespiti,low,,,pending,
DOC000042,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,authority_level,,B,Akademik yayın türü sinyali: academic_article,medium,,,pending,
DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000045,Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,authority_level,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: kgm,low,,,pending,
DOC000045,Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000048,Literatür ve Araştırmalar/TÜNEL BAKIM İŞLETME EL KİTABI.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000049,Literatür ve Araştırmalar/TÜNEL ENVANTER KİTABI 2015.pdf,authority_level,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: karayolları genel müdürlüğü,low,,,pending,
DOC000051,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000051,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,language,,unknown,Konservatif dil tespiti,low,,,pending,
DOC000055,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon Foto1.jpg,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
