document_id,source_relative_path,source_extension,source_sha256,baseline_converter,reason_for_full_docling,size_bytes,page_count_if_known,selected,pilot_selected,pilot_role,stress_selected,stress_reason
DOC000284,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Karstik Boşluklar ve çözüm yolları.pptx,.pptx,2c1509971dc4f4063aa547d07c35111e36ec9d29c78da2d98d9dc19580dcc069,python_pptx_fallback,python_pptx_fallback,3511301,,true,false,,false,
DOC000164,Sunumlar_2022/8_Halkali - Istanbul Airport Metro Construction Works.pdf,.pdf,f036fbe6cc100faef49c498054f0700eb618c52fca4e5f4a0806dde7c9610c01,pypdf_fallback,layout_quality_check,3552062,,true,false,,false,
DOC000048,Literatür ve Araştırmalar/TÜNEL BAKIM İŞLETME EL KİTABI.pdf,.pdf,a23b1e815eedc4a3c978b6a03a734d9c2099b428df2ead2d9d622db8f5d4ebdd,pypdf_fallback,layout_quality_check,3888448,,true,false,,false,
DOC000157,Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,.pdf,246054e0940d9efbe0562a68fc621120e8cf7a22fd1028f0a588f3fb998a6395,pypdf_fallback,layout_quality_check,4247551,,true,false,,false,
DOC000118,Mehmet/Literatur/Wordler/YTMK/2015/10_OBB_SiteOrganHW.docx,.docx,8ac72718b2b107378e7be611654d3caf2c8b63f2d6a1b690b5243c3109c316a1,python_docx_fallback,python_docx_fallback,4386433,,true,false,,false,
DOC000112,Mehmet/Literatur/Wordler/YTMK/2015/03_IGT-Influence_of_codes_guidelines_and_other_regulations_on_the_tunnel_design_in_Austria.docx,.docx,c80abb102d8727116ae25084f339792007817a95002d49e2b4b854d56f04a4d3,python_docx_fallback,python_docx_fallback,4644584,,true,false,,false,
DOC000103,Mehmet/Literatur/Wordler/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,.docx,2c1b6a55522b0773cf9f110ca0d29ce8248640c1c42ad5df0701309c576f28d4,python_docx_fallback,python_docx_fallback,4800681,,true,false,,false,
DOC000212,"Tünel Kazaları, Çökmeler ve Felaketler/Tünel Kazaları.docx",.docx,ad6f9855d77869ce08fa1e1a7a566019b7ea456ae7644bbc5599d77c73ddc084,python_docx_fallback,python_docx_fallback,4975990,,true,false,,false,
DOC000130,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Murat Dursun Barut.pdf,.pdf,17e5e4aa41637a66b3dee7c8c71e79a278cdccb4c134fd115eb7a4a66aa24f32,pypdf_fallback,layout_quality_check,5273420,,true,false,,false,
DOC000248,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/K.MARAS KONT.SEF.TUNEL IMALATLARI.pdf,.pdf,7bd21d281ecd81e07fa9ddf5af7f59cbb0906c9a37b70ae367c07aaa7af9d6da,pypdfium2+rapidocr_torch,ocr_comparison,5290221,,true,false,,false,
DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,.pdf,1d7de282b7330457d53958c4fddbe86d9d0f5f48f582329fa166b394e527e8d3,pypdf_fallback,layout_quality_check,5525495,,true,false,,false,
DOC000119,Mehmet/Literatur/Wordler/YTMK/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,.docx,4a19f1d8988ca4971513a4b771c671122749ef4f3e8df236e5d4093b0acbba39,python_docx_fallback,python_docx_fallback,5654097,,true,false,,false,
DOC000160,"Sunumlar_2022/4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf",.pdf,1457e07af2b0f6b8533b9bc852928166f611084644bf7257b1b3e83f7f16d4a1,pypdf_fallback,layout_quality_check,5782364,,true,false,,false,
DOC000194,Tünel Dergisi/Tunel Dergisi 1.pdf,.pdf,bdacc1e58433a01fcf0eaa66568b3e4d77c24fd56c97f042b459b2c8c3f0baa2,pypdf_fallback,layout_quality_check,6105759,,true,false,,false,
DOC000161,"Sunumlar_2022/5_Past, Present and Future of Izmir Metro Works.pdf",.pdf,7bea6c201c2cd943fbd77ed85a922766ac64943657c2f822f46256943a8abda8,pypdf_fallback,layout_quality_check,6302108,,true,false,,false,
DOC000145,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/10a_OBB_SafetyManagement_HW_Kompatibilitatsmodus.pdf,.pdf,de4b13d03e815c012e30a9f538e222d247c8053ef8b819876183a647e06f8fcc,pypdf_fallback,layout_quality_check,6361583,,true,false,,false,
DOC000051,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,.pdf,164a2494261086dbb9d2446b8ab4a1141ead7783629ac7d21915fdd57d7bcf11,pypdf_fallback,layout_quality_check,6484400,,true,false,,false,
DOC000162,"Sunumlar_2022/6_Past, Present and Future of DSI Tunnels.pdf",.pdf,f28df7cb6007defe882889017a983d7c06c169a31170e5b112017af625ae30b6,pypdf_fallback,layout_quality_check,6937320,,true,false,,false,
DOC000195,Tünel Dergisi/Tunel Dergisi 2.pdf,.pdf,372509651cd66ef259aea51a09cef059d51042791e283bf28bed81e55b6af5a3,pypdf_fallback,layout_quality_check,6937993,,true,false,,false,
DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,.pdf,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15,pypdf_fallback,layout_quality_check,7093307,,true,false,,false,
DOC000261,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T-1OA.pptx,.pptx,392642f7733f2a4d8b5099cdad7f3e5387a8183c22988ae4733f327bb768055f,python_pptx_fallback,python_pptx_fallback,7474868,,true,false,,false,
DOC000305,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Üst yarı alt yarı.pptx,.pptx,d7637879102d66a46987c0881ec3cbe2448070332762b0b53d685b8dbee00d1f,python_pptx_fallback,python_pptx_fallback,7513172,,true,false,,false,
DOC000211,"Tünel Kazaları, Çökmeler ve Felaketler/Tünel Kaynaklı Kazalar_Çökmeler.docx",.docx,70692d73bb93cfb1d00ac0c29be2920e40cb7d86d9a82d40c5937851050e1c23,libreoffice_pdf+pypdfium2+rapidocr_torch,ocr_comparison,7872328,,true,false,,false,
DOC000245,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/22.10.2018/K.Maras Tunel Takip Formlari.pdf,.pdf,1f14788427fc5b2740bae349ee9392629382a0ec965cbba42e2899d93ae6f0f0,pypdfium2+rapidocr_torch,ocr_comparison,7984766,,true,false,,false,
DOC000197,Tünel Dergisi/Tunel Dergisi 4.pdf,.pdf,d0c476b291652a8936b5b0a1317b3ba882ff53d7e5296331599cc0811c69ab58,pypdf_fallback,layout_quality_check,8183504,,true,false,,false,
DOC000221,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/9-Tünel Destek Sistemleri (Örnekler).pptx,.pptx,55e5b81f8bc0ce8894b14d921e2f1aeca7116edac71c0785b615bb9b7d38e18d,python_pptx_fallback,python_pptx_fallback,8590741,,true,false,,false,
DOC000124,Mehmet/Literatur/Wordler/YTU Yuksek Lisans.docx,.docx,7e795b9a47c89f5406c566770c2f81cf7f6fc58ae0545d3299d3a3f107f574da,python_docx_fallback,python_docx_fallback,8634787,,true,false,,false,
DOC000199,Tünel Dergisi/Tunel Dergisi 6.pdf,.pdf,686f2fed7a37fea40455e5a48dc24f8cfc7c735708afde494ac1e7eb9e464e89,pypdf_fallback,layout_quality_check,9669474,,true,false,,false,
DOC000129,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Muhammed Alyuruk.pdf,.pdf,290648f6f7fc8e05fe816c0b981659f49af95ca7c31f137e180c1169c15bbe29,pypdf_fallback,layout_quality_check,9728807,,true,false,,false,
DOC000168,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/ADR TAIEX Eğitim Dokümanı.pdf,.pdf,5c0397948854e544883ff235182f87928732f2913e66c87168f39bc5debb0b68,pypdf_fallback,layout_quality_check,9903161,,true,false,,false,
DOC000263,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1JETGROUT.pptx,.pptx,88730c77ad15671b96aeb63e9fd179190595853eebdcecd0bbab9c65f98fd11e,python_pptx_fallback,python_pptx_fallback,10206631,,true,false,,false,
DOC000158,Sunumlar_2022/2_Present and Future of Tunnel Constructions in Transportation Infrastructure.pdf,.pdf,04c57c21fdf18e5176f04fa367b8aa609d394673f6051f3afffa206e12c8080f,pypdf_fallback,layout_quality_check,10408011,,true,false,,false,
DOC000049,Literatür ve Araştırmalar/TÜNEL ENVANTER KİTABI 2015.pdf,.pdf,5c229054fb8f53a306c097f128ec7004fbaf7d1a52bad4f5bc778f5e91888b54,pypdf_fallback,layout_quality_check,10822145,,true,false,,false,
DOC000244,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/22.10.2018/ErdemliSilifkeTasucu Yolu Tunel Takip Formlari .pdf,.pdf,c53f1b9e55e8c861f3bb66821d0f2fb89e6b365a03f606f3bf9318290ae07b69,pypdf_fallback,layout_quality_check,11305404,,true,false,,true,table_layout_pdf
DOC000067,"Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/6-YALITIM, DRENAJ ve NİHAİ KAPLAMA BETONU.pptx",.pptx,21c81a85613e82c6b1ebeafd9f847e087b0cdc032c8db3933fa8d9438a7f564c,python_pptx_fallback,python_pptx_fallback,11659073,,true,false,,false,
DOC000218,"TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/6-YALITIM, DRENAJ ve NİHAİ KAPLAMA BETONU.pptx",.pptx,d48a443a135b1161e00ebc181a5012c8151360ffca3c9a84b4bc0462c11b3607,python_pptx_fallback,python_pptx_fallback,11673559,,true,false,,false,
DOC000128,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Merih Ozgen.pdf,.pdf,9185b233dc14dd7b02a5c1b798e475bb865f4ca6c8adf040ff5d0a79252a44a8,pypdf_fallback,layout_quality_check,13195573,,true,false,,false,
DOC000198,Tünel Dergisi/Tunel Dergisi 5.pdf,.pdf,49577e05781c8bbe2d7242bfcedabbad89cb896285c29273b3b1fc8e4f499ddd,pypdf_fallback,layout_quality_check,13776877,,true,false,,false,
DOC000196,Tünel Dergisi/Tunel Dergisi 3.pdf,.pdf,c4b2a15c8a756f897c1dff75fed956899f83c55221516e1cad2a975c832e7199,pypdf_fallback,layout_quality_check,13939522,,true,false,,false,
DOC000087,Mehmet/Literatur/KGM_Teknik_Sartnamesi_2013.pdf,.pdf,312befcda2ff316b72796d77bba3c92b68eb6300ac8717eb2953c034fb65afd4,pypdf_fallback,layout_quality_check,14183236,,true,false,,false,
DOC000066,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/1-NATM-2020.pptx,.pptx,33e54b02175c174a99a7739012e0a70101e516836394186566041b705643cce9,python_pptx_fallback,python_pptx_fallback,14376515,,true,false,,false,
DOC000123,Mehmet/Literatur/Wordler/YTMK/2015/OeGG_Monitoring_Handbook.docx,.docx,95f6781e96026a8a700972730aba59088c12ffbbe9becf83196c73c8404ad8b6,python_docx_fallback,python_docx_fallback,14814159,,true,false,,false,
DOC000206,Tünel Dergisi/Tünel-47-e-dergisi_r.pdf,.pdf,fa208eb77bc6932673d16b6fc711a2e01413f0fd1b0e9ea635161e688e55c761,pypdf_fallback,layout_quality_check,14985395,,true,false,,false,
DOC000127,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/M.Kemal Akman.pdf,.pdf,752100774713db4bce1bba84ccbd571af14868359841be4afb343ab4b4e4328f,pypdf_fallback,layout_quality_check,14996763,,true,false,,false,
DOC000303,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Çelik Tel Donatılı Nihai Kaplama.pptx,.pptx,a471cdf404ac49ee41a9476faeaa46bfde3e3d12cbc2ef9b336a2deecf875a48,python_pptx_fallback,python_pptx_fallback,14996882,,true,false,,false,
DOC000282,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/Çelik Tel Donatılı Nihai Kaplama.pptx,.pptx,2516fb6319c342abb140f6dcba0f9501a4c62f1313b58666e46181c062c8dbbc,python_pptx_fallback,python_pptx_fallback,14996960,,true,false,,false,
DOC000117,Mehmet/Literatur/Wordler/YTMK/2015/09_TUG_Monitoring.docx,.docx,1c5a56abfaae6e5248584ef5841f7768352868ee2b53bd114514189a4b8405a3,python_docx_fallback,python_docx_fallback,15062635,,true,false,,false,
DOC000262,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1 Tüneli KY.pptx,.pptx,01e403164c0361f59ca716cbdc834029883212f24feab0c290022d9d089ea82d,python_pptx_fallback,python_pptx_fallback,15438959,,true,false,,false,
DOC000015,Leyla Literatür/TunelMaliyet/hif15005.pdf,.pdf,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8,pypdf_fallback,layout_quality_check,15821876,,true,false,,false,
DOC000114,Mehmet/Literatur/Wordler/YTMK/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,.docx,7fd4b4c8c846d5e6aae2acc8cecd0dc03273e7182ae53a6f4ebf8de4b5d346be,python_docx_fallback,python_docx_fallback,16862940,,true,false,,false,
DOC000068,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/TBM(Tunnel Boring Machine).pptx,.pptx,5f811a624baec87de732a24e235f5f0887f21a17fc42320a7002c14235e319aa,python_pptx_fallback,python_pptx_fallback,16907826,,true,false,,false,
DOC000207,Tünel Dergisi/Tünel-e-dergi-43_red.pdf,.pdf,c7d688e33e7dbd6fd3c0b1b91c11b011d90cd868b05c51353bafc3bf1b3aab65,pypdf_fallback,layout_quality_check,18100371,,true,false,,false,
DOC000201,Tünel Dergisi/Tünel 42-E-dergi_2.pdf,.pdf,695835658c70e223f85a912fd7cdc82f2310c56e743b9645f61d81a8759a2b0a,pypdf_fallback,layout_quality_check,19541639,,true,false,,false,
DOC000176,Tünel Dergisi/E-Dergi_Tünel 45_r.pdf,.pdf,91771bfc0bb400062986b68fd2aa49954ba54a4fbd5c878d670afbd97a78aa0c,pypdf_fallback,layout_quality_check,20058090,,true,false,,false,
DOC000200,Tünel Dergisi/tunel37.pdf,.pdf,670dfbfd16421be5cb705fad078e0d9de989b6d4e178f8ce2f37ef25e895d1ed,pypdf_fallback,layout_quality_check,20321848,,true,true,size_distribution,false,
DOC000175,Tünel Dergisi/E-dergi-Tünel Dergisi 46_1.pdf,.pdf,f2f1c1bde126829d366a5b059941944e3e26a568d085b6b6a16a5ebbfeb4a022,pypdf_fallback,layout_quality_check,20890317,,true,false,,false,
DOC000110,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,.docx,521709d743a3d0399b5025fc7cc9eb9bc383852908cc125951b52d56a9c53a6d,python_docx_fallback,python_docx_fallback,21044952,,true,false,,false,
